wrong 	spelling 	7.5secs 	ninety 	n_____ 	!= 	_nnety 	RunAve=runAve spelling: 0/1  0% 7.5secs 	Tue Jan 12 2021 21:58:42 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	butter: 	but___ 	== 	___ter 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sat Jan 16 2021 17:48:57 GMT-0600 (Central Standard Time)
correct 	spelling 	3.9secs 	tone: 	t___ 	== 	_one 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sat Jan 16 2021 17:49:19 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	slave: 	s____ 	== 	_lave 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sat Jan 16 2021 17:49:36 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	bare: 	b___ 	== 	_are 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sat Jan 16 2021 17:49:57 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	gland: 	g____ 	== 	_land 	RunAve=runAve spelling: 24/25 96% 2.7secs 	Sat Jan 16 2021 17:50:17 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	creed: 	c____ 	== 	_reed 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 17:50:37 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	ranch: 	ra___ 	== 	__nch 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 17:50:57 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	shave: 	s____ 	== 	_have 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 17:51:18 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	stick: 	s____ 	== 	_tick 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 17:51:37 GMT-0600 (Central Standard Time)
correct 	spelling 	3.2secs 	ahead: 	a____ 	== 	_head 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 17:51:58 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	poet: 	p___ 	== 	_oet 	RunAve=runAve spelling: 25/25 100% 2.4secs 	Sat Jan 16 2021 17:52:16 GMT-0600 (Central Standard Time)
correct 	spelling 	5.5secs 	sable: 	s____ 	== 	_able 	RunAve=runAve spelling: 25/25 100% 2.6secs 	Sat Jan 16 2021 17:52:40 GMT-0600 (Central Standard Time)
correct 	spelling 	4.5secs 	dominant: 	dom_____ 	== 	___inant 	RunAve=runAve spelling: 25/25 100% 2.7secs 	Sat Jan 16 2021 17:52:59 GMT-0600 (Central Standard Time)
correct 	spelling 	3.8secs 	spread: 	s_____ 	== 	_pread 	RunAve=runAve spelling: 25/25 100% 2.8secs 	Sat Jan 16 2021 17:53:19 GMT-0600 (Central Standard Time)
correct 	spelling 	3.4secs 	temper: 	te____ 	== 	__mper 	RunAve=runAve spelling: 25/25 100% 2.8secs 	Sat Jan 16 2021 17:53:58 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	taunt: 	t____ 	== 	_aunt 	RunAve=runAve spelling: 25/25 100% 2.9secs 	Sat Jan 16 2021 17:54:17 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	ignite: 	i_____ 	== 	_gnite 	RunAve=runAve spelling: 25/25 100% 2.9secs 	Sat Jan 16 2021 17:54:38 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	note: 	n___ 	== 	_ote 	RunAve=runAve spelling: 25/25 100% 2.9secs 	Sat Jan 16 2021 17:54:57 GMT-0600 (Central Standard Time)
correct 	spelling 	10.3secs 	glass: 	gl___ 	== 	__ass 	RunAve=runAve spelling: 25/25 100% 3.2secs 	Sat Jan 16 2021 17:55:25 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	spoon: 	s____ 	== 	_poon 	RunAve=runAve spelling: 25/25 100% 3.2secs 	Sat Jan 16 2021 17:55:37 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	net: 	n__ 	== 	_et 	RunAve=runAve spelling: 25/25 100% 3.2secs 	Sat Jan 16 2021 17:55:58 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	down: 	d___ 	== 	_own 	RunAve=runAve spelling: 25/25 100% 3.2secs 	Sat Jan 16 2021 17:56:17 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	point: 	p____ 	== 	_oint 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:56:36 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	side: 	s___ 	== 	_ide 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:56:58 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	tell: 	t___ 	== 	_ell 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:57:17 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	prance: 	pr____ 	== 	__ance 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:57:38 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	any: 	a__ 	== 	_ny 	RunAve=runAve spelling: 25/25 100% 3.0secs 	Sat Jan 16 2021 17:57:57 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	party: 	p____ 	== 	_arty 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:58:17 GMT-0600 (Central Standard Time)
correct 	spelling 	3.5secs 	beetle: 	b_____ 	== 	_eetle 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:58:38 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	float: 	f____ 	== 	_loat 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:58:57 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	lawn: 	l___ 	== 	_awn 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:59:18 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	glorify: 	glor___ 	== 	____ify 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:59:38 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	whine: 	w____ 	== 	_hine 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 17:59:57 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	paint: 	p____ 	== 	_aint 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 18:00:17 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	coach: 	c____ 	== 	_oach 	RunAve=runAve spelling: 25/25 100% 3.0secs 	Sat Jan 16 2021 18:00:57 GMT-0600 (Central Standard Time)
correct 	spelling 	3.7secs 	too: 	t__ 	== 	_oo 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 18:01:39 GMT-0600 (Central Standard Time)
correct 	spelling 	3.9secs 	spar: 	s___ 	== 	_par 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 18:01:59 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	peach: 	p____ 	== 	_each 	RunAve=runAve spelling: 25/25 100% 3.0secs 	Sat Jan 16 2021 18:02:18 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	grovel: 	g_____ 	== 	_rovel 	RunAve=runAve spelling: 25/25 100% 2.9secs 	Sat Jan 16 2021 18:02:37 GMT-0600 (Central Standard Time)
correct 	spelling 	3.8secs 	gravity: 	gra____ 	== 	___vity 	RunAve=runAve spelling: 25/25 100% 2.9secs 	Sat Jan 16 2021 18:02:59 GMT-0600 (Central Standard Time)
correct 	spelling 	4.4secs 	remark: 	re____ 	== 	__mark 	RunAve=runAve spelling: 25/25 100% 3.0secs 	Sat Jan 16 2021 18:05:25 GMT-0600 (Central Standard Time)
correct 	spelling 	8.4secs 	spin: 	s___ 	== 	_pin 	RunAve=runAve spelling: 25/25 100% 3.2secs 	Sat Jan 16 2021 18:05:49 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	sister: 	s_____ 	== 	_ister 	RunAve=runAve spelling: 25/25 100% 3.3secs 	Sat Jan 16 2021 18:06:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	all: 	a__ 	== 	_ll 	RunAve=runAve spelling: 25/25 100% 3.0secs 	Sat Jan 16 2021 18:06:23 GMT-0600 (Central Standard Time)
correct 	spelling 	6.4secs 	demean: 	d_____ 	== 	_emean 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 18:06:47 GMT-0600 (Central Standard Time)
correct 	spelling 	5.0secs 	delivery: 	del_____ 	== 	___ivery 	RunAve=runAve spelling: 25/25 100% 3.2secs 	Sat Jan 16 2021 18:07:05 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	nineteen: 	ninet___ 	== 	_____een 	RunAve=runAve spelling: 25/25 100% 3.2secs 	Sat Jan 16 2021 18:07:23 GMT-0600 (Central Standard Time)
correct 	spelling 	11.2secs 	heron: 	he___ 	== 	__ron 	RunAve=runAve spelling: 25/25 100% 3.6secs 	Sat Jan 16 2021 18:08:51 GMT-0600 (Central Standard Time)
correct 	spelling 	4.1secs 	aunt: 	a___ 	== 	_unt 	RunAve=runAve spelling: 25/25 100% 3.7secs 	Sat Jan 16 2021 18:09:04 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	dot: 	d__ 	== 	_ot 	RunAve=runAve spelling: 25/25 100% 3.6secs 	Sat Jan 16 2021 18:09:22 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	dwindle: 	d______ 	== 	_windle 	RunAve=runAve spelling: 25/25 100% 3.6secs 	Sat Jan 16 2021 18:09:44 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	cowl: 	c___ 	== 	_owl 	RunAve=runAve spelling: 25/25 100% 3.6secs 	Sat Jan 16 2021 18:10:42 GMT-0600 (Central Standard Time)
correct 	spelling 	3.5secs 	spur: 	s___ 	== 	_pur 	RunAve=runAve spelling: 25/25 100% 3.7secs 	Sat Jan 16 2021 18:11:04 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	too: 	t__ 	== 	_oo 	RunAve=runAve spelling: 25/25 100% 3.6secs 	Sat Jan 16 2021 18:11:22 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	battery: 	b______ 	== 	_attery 	RunAve=runAve spelling: 25/25 100% 3.7secs 	Sat Jan 16 2021 18:11:44 GMT-0600 (Central Standard Time)
correct 	spelling 	5.3secs 	amputate: 	a_______ 	== 	_mputate 	RunAve=runAve spelling: 25/25 100% 3.8secs 	Sat Jan 16 2021 18:12:06 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	speed: 	s____ 	== 	_peed 	RunAve=runAve spelling: 25/25 100% 3.8secs 	Sat Jan 16 2021 18:13:43 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	seen: 	s___ 	== 	_een 	RunAve=runAve spelling: 25/25 100% 3.8secs 	Sat Jan 16 2021 18:14:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	whimsical: 	w________ 	== 	_himsical 	RunAve=runAve spelling: 25/25 100% 3.9secs 	Sat Jan 16 2021 18:14:23 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	final: 	f____ 	== 	_inal 	RunAve=runAve spelling: 25/25 100% 3.8secs 	Sat Jan 16 2021 18:14:43 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	elicit: 	eli___ 	== 	___cit 	RunAve=runAve spelling: 25/25 100% 3.8secs 	Sat Jan 16 2021 18:15:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	still: 	st___ 	== 	__ill 	RunAve=runAve spelling: 25/25 100% 3.8secs 	Sat Jan 16 2021 18:15:23 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	men: 	m__ 	== 	_en 	RunAve=runAve spelling: 25/25 100% 3.7secs 	Sat Jan 16 2021 18:15:42 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	vanity: 	v_____ 	== 	_anity 	RunAve=runAve spelling: 25/25 100% 3.7secs 	Sat Jan 16 2021 18:16:04 GMT-0600 (Central Standard Time)
wrong 	spelling 	0.5secs 	spike: 	s____ 	!= 	_ikke 	RunAve=runAve spelling: 24/25 96% 3.6secs 	Sat Jan 16 2021 18:16:21 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	spike:4 	spik_ 	== 	____e 	RunAve=runAve spelling: 24/25 96% 3.5secs 	Sat Jan 16 2021 18:16:42 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	bike: 	b___ 	== 	_ike 	RunAve=runAve spelling: 24/25 96% 3.2secs 	Sat Jan 16 2021 18:17:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	like: 	l___ 	== 	_ike 	RunAve=runAve spelling: 24/25 96% 3.2secs 	Sat Jan 16 2021 18:17:23 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	spike: 	s____ 	== 	_pike 	RunAve=runAve spelling: 24/25 96% 3.2secs 	Sat Jan 16 2021 18:17:42 GMT-0600 (Central Standard Time)
correct 	spelling 	3.5secs 	strike: 	s_____ 	== 	_trike 	RunAve=runAve spelling: 24/25 96% 3.1secs 	Sat Jan 16 2021 18:18:04 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	plan: 	p___ 	== 	_lan 	RunAve=runAve spelling: 24/25 96% 3.0secs 	Sat Jan 16 2021 18:18:22 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	neat: 	n___ 	== 	_eat 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:18:43 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	intend: 	i_____ 	== 	_ntend 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:19:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	rate: 	r___ 	== 	_ate 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:19:23 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	lunch: 	l____ 	== 	_unch 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:19:42 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	wind: 	w___ 	== 	_ind 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 18:20:03 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	clergy: 	c_____ 	== 	_lergy 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 18:20:22 GMT-0600 (Central Standard Time)
correct 	spelling 	5.5secs 	fin: 	f__ 	== 	_in 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:20:46 GMT-0600 (Central Standard Time)
correct 	spelling 	3.8secs 	saddle: 	s_____ 	== 	_addle 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:21:04 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	want: 	w___ 	== 	_ant 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:21:23 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	tinge: 	t____ 	== 	_inge 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 18:21:43 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	swamp: 	s____ 	== 	_wamp 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 18:22:03 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	take: 	t___ 	== 	_ake 	RunAve=runAve spelling: 24/25 96% 2.3secs 	Sat Jan 16 2021 18:22:22 GMT-0600 (Central Standard Time)
correct 	spelling 	5.8secs 	slumber: 	slu____ 	== 	___mber 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:22:46 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	feeble: 	fee___ 	== 	___ble 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:23:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	steep: 	s____ 	== 	_teep 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 18:23:23 GMT-0600 (Central Standard Time)
correct 	spelling 	4.9secs 	fifty: 	f____ 	== 	_ifty 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:23:46 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	defame: 	de____ 	== 	__fame 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:24:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	midst: 	m____ 	== 	_idst 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:25:43 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	down: 	d___ 	== 	_own 	RunAve=runAve spelling: 25/25 100% 2.6secs 	Sat Jan 16 2021 18:26:03 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	home: 	h___ 	== 	_ome 	RunAve=runAve spelling: 25/25 100% 2.6secs 	Sat Jan 16 2021 18:26:23 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	gull: 	g___ 	== 	_ull 	RunAve=runAve spelling: 25/25 100% 2.6secs 	Sat Jan 16 2021 18:26:42 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	inflame: 	inf____ 	== 	___lame 	RunAve=runAve spelling: 25/25 100% 2.5secs 	Sat Jan 16 2021 18:27:43 GMT-0600 (Central Standard Time)
correct 	spelling 	3.6secs 	pillow: 	p_____ 	== 	_illow 	RunAve=runAve spelling: 25/25 100% 2.6secs 	Sat Jan 16 2021 18:28:04 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	a: 	a 	== 	_ 	RunAve=runAve spelling: 25/25 100% 2.5secs 	Sat Jan 16 2021 18:28:22 GMT-0600 (Central Standard Time)
correct 	spelling 	5.4secs 	raze: 	r___ 	== 	_aze 	RunAve=runAve spelling: 25/25 100% 2.7secs 	Sat Jan 16 2021 18:28:46 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	tender: 	ten___ 	== 	___der 	RunAve=runAve spelling: 25/25 100% 2.7secs 	Sat Jan 16 2021 18:29:44 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	pipe: 	p___ 	== 	_ipe 	RunAve=runAve spelling: 25/25 100% 2.7secs 	Sat Jan 16 2021 18:30:23 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	stutter: 	s______ 	== 	_tutter 	RunAve=runAve spelling: 25/25 100% 2.7secs 	Sat Jan 16 2021 18:30:44 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	warn: 	w___ 	== 	_arn 	RunAve=runAve spelling: 25/25 100% 2.7secs 	Sat Jan 16 2021 18:31:02 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	dump: 	d___ 	== 	_ump 	RunAve=runAve spelling: 25/25 100% 2.7secs 	Sat Jan 16 2021 18:31:23 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.9secs 	old: 	o__ 	!= 	_dd 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sat Jan 16 2021 18:31:44 GMT-0600 (Central Standard Time)
correct 	spelling 	1.3secs 	old:2 	ol_ 	== 	__d 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:32:02 GMT-0600 (Central Standard Time)
correct 	spelling 	4.1secs 	old: 	o__ 	== 	_ld 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:32:25 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	mold: 	m___ 	== 	_old 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:32:44 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	sold: 	s___ 	== 	_old 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:33:02 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	gold: 	g___ 	== 	_old 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:33:24 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	click: 	c____ 	== 	_lick 	RunAve=runAve spelling: 24/25 96% 2.7secs 	Sat Jan 16 2021 18:33:44 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	velvet: 	ve____ 	== 	__lvet 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:34:04 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	groom: 	g____ 	== 	_room 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:34:23 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	skillet: 	s______ 	== 	_killet 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:34:44 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	brush: 	b____ 	== 	_rush 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:35:04 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	past: 	p___ 	== 	_ast 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 18:35:23 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	with: 	w___ 	== 	_ith 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 18:36:03 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	ranch: 	r____ 	== 	_anch 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 18:36:44 GMT-0600 (Central Standard Time)
correct 	spelling 	4.0secs 	democrat: 	d_______ 	== 	_emocrat 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sat Jan 16 2021 18:37:05 GMT-0600 (Central Standard Time)
correct 	spelling 	4.9secs 	text: 	t___ 	== 	_ext 	RunAve=runAve spelling: 24/25 96% 2.7secs 	Sat Jan 16 2021 18:37:26 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	amass: 	a____ 	== 	_mass 	RunAve=runAve spelling: 24/25 96% 2.7secs 	Sat Jan 16 2021 18:37:44 GMT-0600 (Central Standard Time)
correct 	spelling 	4.3secs 	oval: 	o___ 	== 	_val 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sat Jan 16 2021 18:38:05 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	ministry: 	m_______ 	== 	_inistry 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sat Jan 16 2021 18:38:24 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	pluck: 	p____ 	== 	_luck 	RunAve=runAve spelling: 24/25 96% 2.7secs 	Sat Jan 16 2021 18:38:44 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	rusk: 	r___ 	== 	_usk 	RunAve=runAve spelling: 24/25 96% 2.7secs 	Sat Jan 16 2021 18:39:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	end: 	e__ 	== 	_nd 	RunAve=runAve spelling: 24/25 96% 2.7secs 	Sat Jan 16 2021 18:39:24 GMT-0600 (Central Standard Time)
correct 	spelling 	3.4secs 	stock: 	s____ 	== 	_tock 	RunAve=runAve spelling: 24/25 96% 2.7secs 	Sat Jan 16 2021 18:39:45 GMT-0600 (Central Standard Time)
correct 	spelling 	6.5secs 	ballast: 	bal____ 	== 	___last 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:40:08 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	custom: 	c_____ 	== 	_ustom 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:40:24 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	seed: 	s___ 	== 	_eed 	RunAve=runAve spelling: 25/25 100% 2.9secs 	Sat Jan 16 2021 18:40:44 GMT-0600 (Central Standard Time)
correct 	spelling 	5.3secs 	thrown: 	t_____ 	== 	_hrown 	RunAve=runAve spelling: 25/25 100% 3.1secs 	Sat Jan 16 2021 18:41:06 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.1secs 	molt: 	m___ 	!= 	_elt 	RunAve=runAve spelling: 24/25 96% 3.0secs 	Sat Jan 16 2021 18:41:23 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	molt:3 	mol_ 	== 	___t 	RunAve=runAve spelling: 24/25 96% 3.0secs 	Sat Jan 16 2021 18:41:43 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	bolt: 	b___ 	== 	_olt 	RunAve=runAve spelling: 24/25 96% 3.0secs 	Sat Jan 16 2021 18:42:03 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	molt: 	m___ 	== 	_olt 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:42:23 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	hold: 	h___ 	== 	_old 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:42:43 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	old: 	o__ 	== 	_ld 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:43:04 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	hop: 	h__ 	== 	_op 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:43:24 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	ballast: 	bal____ 	== 	___last 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:43:44 GMT-0600 (Central Standard Time)
correct 	spelling 	3.2secs 	spar: 	s___ 	== 	_par 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:44:05 GMT-0600 (Central Standard Time)
correct 	spelling 	4.6secs 	sever: 	s____ 	== 	_ever 	RunAve=runAve spelling: 24/25 96% 3.0secs 	Sat Jan 16 2021 18:44:26 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	gather: 	gat___ 	== 	___her 	RunAve=runAve spelling: 24/25 96% 3.1secs 	Sat Jan 16 2021 18:44:44 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	arrow: 	a____ 	== 	_rrow 	RunAve=runAve spelling: 24/25 96% 3.1secs 	Sat Jan 16 2021 18:45:04 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	smooth: 	s_____ 	== 	_mooth 	RunAve=runAve spelling: 24/25 96% 3.0secs 	Sat Jan 16 2021 18:45:24 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	vase: 	v___ 	== 	_ase 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:45:44 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	call: 	c___ 	== 	_all 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 18:46:04 GMT-0600 (Central Standard Time)
correct 	spelling 	3.2secs 	point: 	po___ 	== 	__int 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sat Jan 16 2021 18:46:25 GMT-0600 (Central Standard Time)
